                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2286,                 1.1246,                 1.4458,                0.85251,                0.78692,                0.89077,                  0.615,                  1.106,                0.81259,                 1.5129,              0.0007822,              0.0007822,              0.0007822
                     36,                  1.191,                 1.1115,                 1.4165,                  0.871,                0.82656,                0.91474,                0.64338,                 1.0904,                0.74891,                 1.4973,              0.0007756,              0.0007756,              0.0007756
                     37,                 1.2091,                 1.1123,                 1.4335,                0.85097,                0.84936,                0.90901,                0.62369,                 1.0982,                0.77931,                 1.5007,               0.000769,               0.000769,               0.000769
                     38,                 1.1933,                 1.0839,                 1.4155,                0.84326,                0.85332,                0.89954,                0.61326,                 1.1309,                0.77705,                 1.5444,              0.0007624,              0.0007624,              0.0007624
                     39,                 1.1844,                 1.0576,                 1.4047,                0.84087,                0.89556,                0.92345,                0.65183,                 1.0717,                0.71884,                 1.4639,              0.0007558,              0.0007558,              0.0007558
                     40,                 1.1854,                 1.0556,                  1.399,                0.84853,                0.84387,                0.90956,                0.63995,                 1.0467,                0.75764,                 1.4627,              0.0007492,              0.0007492,              0.0007492
                     41,                 1.1688,                 1.0569,                 1.3902,                0.88064,                0.85728,                0.92467,                0.66527,                 1.0249,                 0.6958,                 1.4467,              0.0007426,              0.0007426,              0.0007426
                     42,                 1.1677,                 1.0412,                 1.4036,                0.86773,                0.81863,                0.90589,                0.63681,                 1.0407,                0.74876,                 1.4482,               0.000736,               0.000736,               0.000736
                     43,                 1.1606,                 1.0354,                  1.384,                 0.8536,                0.87017,                0.92334,                0.66181,                 1.0196,                0.71378,                 1.4334,              0.0007294,              0.0007294,              0.0007294
                     44,                 1.1573,                 1.0229,                 1.3921,                0.85729,                0.83354,                0.90719,                0.62974,                 1.0644,                0.76549,                  1.467,              0.0007228,              0.0007228,              0.0007228
                     45,                 1.1635,                 1.0167,                  1.386,                0.86994,                0.84191,                0.90782,                 0.6452,                 1.0454,                0.75204,                 1.4851,              0.0007162,              0.0007162,              0.0007162
                     46,                 1.1465,                 1.0144,                 1.3852,                0.86937,                0.88503,                0.93079,                0.66362,                 1.0285,                0.67518,                 1.4432,              0.0007096,              0.0007096,              0.0007096
                     47,                 1.1437,                0.99941,                 1.3768,                0.83454,                0.85482,                0.90844,                0.64293,                 1.0481,                 0.7273,                 1.4642,               0.000703,               0.000703,               0.000703
                     48,                 1.1363,                 0.9944,                 1.3785,                0.85734,                0.88801,                0.92362,                0.66298,                 1.0187,                0.69498,                 1.4428,              0.0006964,              0.0006964,              0.0006964
                     49,                 1.1364,                0.97905,                 1.3657,                0.88738,                0.87459,                0.92936,                0.66145,                 1.0528,                0.67348,                 1.4535,              0.0006898,              0.0006898,              0.0006898
                     50,                 1.1324,                0.99428,                 1.3633,                0.84865,                0.86521,                0.91702,                 0.6528,                 1.0201,                0.71897,                 1.4434,              0.0006832,              0.0006832,              0.0006832
                     51,                 1.1191,                0.97158,                 1.3524,                 0.8744,                0.89594,                0.93685,                0.67941,                 1.0048,                0.65135,                 1.4156,              0.0006766,              0.0006766,              0.0006766
                     52,                 1.1279,                0.99137,                 1.3612,                0.86004,                0.87116,                0.91799,                0.65581,                 1.0184,                 0.6888,                 1.4408,                0.00067,                0.00067,                0.00067
                     53,                 1.1089,                0.97503,                 1.3465,                0.89159,                0.88206,                 0.9281,                0.66394,                 1.0434,                0.67787,                 1.4664,              0.0006634,              0.0006634,              0.0006634
                     54,                 1.1141,                0.95879,                 1.3495,                0.86321,                0.88206,                0.92449,                 0.6615,                  1.008,                0.69046,                 1.4247,              0.0006568,              0.0006568,              0.0006568
                     55,                  1.073,                 0.9254,                 1.3237,                0.90049,                 0.8662,                 0.9385,                0.68286,                 0.9941,                0.65246,                 1.4176,              0.0006502,              0.0006502,              0.0006502
                     56,                 1.0965,                0.96115,                 1.3394,                0.88239,                0.89693,                0.93742,                0.67895,                  1.015,                 0.6533,                  1.438,              0.0006436,              0.0006436,              0.0006436
                     57,                 1.1101,                0.95897,                 1.3479,                0.88707,                0.88603,                0.93214,                0.67393,                  1.001,                0.63524,                 1.4217,               0.000637,               0.000637,               0.000637
                     58,                 1.0934,                0.93434,                 1.3317,                0.89254,                0.86436,                0.93559,                0.67886,                 1.0018,                0.66661,                 1.4209,              0.0006304,              0.0006304,              0.0006304
                     59,                 1.0817,                0.94129,                 1.3326,                0.87843,                0.88086,                0.92755,                0.66346,                  1.016,                0.67282,                 1.4351,              0.0006238,              0.0006238,              0.0006238
                     60,                 1.0773,                0.92519,                 1.3245,                0.88443,                0.88503,                  0.942,                0.68928,                0.97823,                0.62826,                 1.4049,              0.0006172,              0.0006172,              0.0006172
                     61,                 1.0836,                0.91738,                 1.3273,                0.88337,                0.87909,                0.93397,                0.68174,                 1.0111,                0.65103,                 1.4284,              0.0006106,              0.0006106,              0.0006106
                     62,                 1.0703,                0.91598,                 1.3351,                0.89073,                0.89197,                0.93995,                0.68626,                0.98278,                0.65176,                 1.4072,               0.000604,               0.000604,               0.000604
                     63,                 1.0624,                0.90441,                 1.3167,                0.88169,                0.88206,                0.92888,                0.67137,                0.99139,                 0.6545,                 1.4082,              0.0005974,              0.0005974,              0.0005974
                     64,                 1.0739,                0.89686,                 1.3224,                0.88943,                0.90083,                0.94047,                0.69215,                0.97587,                0.60974,                 1.3971,              0.0005908,              0.0005908,              0.0005908
                     65,                 1.0518,                0.89503,                 1.3072,                 0.9041,                0.85956,                0.93707,                0.69197,                0.99503,                0.63626,                  1.415,              0.0005842,              0.0005842,              0.0005842
                     66,                  1.042,                0.86252,                 1.2902,                 0.8934,                0.88045,                0.94164,                0.68654,                 1.0085,                0.61903,                 1.4267,              0.0005776,              0.0005776,              0.0005776
                     67,                 1.0642,                0.89638,                  1.324,                0.87741,                 0.9009,                0.93914,                0.68672,                0.99006,                0.62387,                 1.4127,               0.000571,               0.000571,               0.000571
                     68,                 1.0441,                0.87775,                 1.2967,                0.89774,                0.87881,                0.93738,                0.67685,                0.98758,                0.63872,                 1.4253,              0.0005644,              0.0005644,              0.0005644
                     69,                 1.0469,                 0.8983,                 1.3093,                 0.8715,                0.88404,                 0.9295,                0.68391,                0.97543,                0.64873,                 1.3964,              0.0005578,              0.0005578,              0.0005578
                     70,                 1.0493,                0.88154,                 1.3031,                0.87791,                0.89084,                0.93561,                0.67869,                0.99294,                 0.6372,                 1.4098,              0.0005512,              0.0005512,              0.0005512
                     71,                  1.035,                0.86599,                 1.2934,                0.87203,                0.88008,                0.92925,                0.68181,                0.97747,                0.64738,                 1.4002,              0.0005446,              0.0005446,              0.0005446
                     72,                 1.0356,                0.84806,                 1.2932,                0.89065,                 0.8781,                0.93304,                0.69041,                0.97221,                0.64201,                 1.3947,               0.000538,               0.000538,               0.000538
                     73,                 1.0336,                0.86983,                 1.2786,                0.89803,                0.88155,                0.94002,                0.68832,                0.98105,                 0.6426,                 1.4029,              0.0005314,              0.0005314,              0.0005314
                     74,                 1.0278,                0.85357,                 1.2899,                0.87329,                0.89495,                0.92922,                0.68425,                0.96305,                0.63766,                 1.3887,              0.0005248,              0.0005248,              0.0005248
                     75,                  1.017,                 0.8387,                 1.2836,                 0.8982,                0.90981,                0.94517,                0.70262,                0.95887,                0.59678,                 1.3927,              0.0005182,              0.0005182,              0.0005182
                     76,                 1.0122,                0.83751,                 1.2715,                0.88717,                  0.889,                  0.935,                0.69547,                0.97007,                0.62945,                  1.389,              0.0005116,              0.0005116,              0.0005116
                     77,                 1.0153,                0.84092,                 1.2785,                0.88547,                0.87349,                0.93046,                0.68911,                0.96219,                0.62803,                 1.3799,               0.000505,               0.000505,               0.000505
